"TRADE DATE","EXCHANGE","CONTRACT","DEL.MONTH","BUY LOT","SELL LOT","C.P.F","STRIKE","TRADE PRICE","SETTLEMENT PRICE","UNREALISED PL","PLCCY","DEAL REF","CLIENT CODE"
"04/03/2025","NDEX","C","202512","3","0","F","0.0000","67.8400","70.4600","7,860.00","EUR","1176210224","WF300"
"04/03/2025","NDEX","C","202512","7","0","F","0.0000","67.8400","70.4600","18,340.00","EUR","1176210225","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9100","70.4600","2,550.00","EUR","1176210227","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9100","70.4600","2,550.00","EUR","1176210228","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9100","70.4600","2,550.00","EUR","1176210229","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9100","70.4600","2,550.00","EUR","1176210230","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9200","70.4600","2,540.00","EUR","1176210231","WF300"
"04/03/2025","NDEX","C","202512","2","0","F","0.0000","67.9200","70.4600","5,080.00","EUR","1176210232","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9300","70.4600","2,530.00","EUR","1176210233","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9300","70.4600","2,530.00","EUR","1176210234","WF300"
"04/03/2025","NDEX","C","202512","1","0","F","0.0000","67.9300","70.4600","2,530.00","EUR","1176210235","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.6800","70.4600","2,780.00","EUR","1177044498","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.6900","70.4600","2,770.00","EUR","1177044499","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.6900","70.4600","2,770.00","EUR","1177044500","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7000","70.4600","2,760.00","EUR","1177044501","WF300"
"11/03/2025","NDEX","C","202512","2","0","F","0.0000","67.7000","70.4600","5,520.00","EUR","1177044502","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7100","70.4600","2,750.00","EUR","1177044503","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7200","70.4600","2,740.00","EUR","1177044504","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7200","70.4600","2,740.00","EUR","1177044505","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7200","70.4600","2,740.00","EUR","1177044506","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7100","70.4600","2,750.00","EUR","1177044507","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7100","70.4600","2,750.00","EUR","1177044508","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7100","70.4600","2,750.00","EUR","1177044509","WF300"
"11/03/2025","NDEX","C","202512","2","0","F","0.0000","67.7200","70.4600","5,480.00","EUR","1177044510","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7300","70.4600","2,730.00","EUR","1177044620","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7300","70.4600","2,730.00","EUR","1177044621","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7300","70.4600","2,730.00","EUR","1177044622","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7400","70.4600","2,720.00","EUR","1177044623","WF300"
"11/03/2025","NDEX","C","202512","1","0","F","0.0000","67.7400","70.4600","2,720.00","EUR","1177044624","WF300"
